4Gram,count
haml,472
mlet,472
amle,472
that,407
ther,370
with,329
lord,321
this,297
here,268
your,264
king,236
what,220
atio,213
thou,196
thin,184
have,183
ould,183
will,180
rati,172
ight,161
orat,159
hora,158
tion,157
come,155
audi,127
laud,122
clau,121
dius,120
hall,120
olon,120
quee,120
shal,120
udiu,120
loni,119
nius,119
oniu,119
polo,119
ueen,119
good,115
othe,110
erte,107
rtes,106
aert,105
laer,105
they,104
like,101
more,98
rude,97
well,97
hear,96
know,96
ster,96
trud,96
ertr,95
from,95
gert,95
hing,95
rtru,95
most,93
nter,93
eave,91
rant,91
ophe,90
athe,88
ough,88
play,88
self,88
elia,87
heli,87
phel,87
woul,87
some,86
love,84
ente,83
rose,83
them,83
very,83
wher,81
ence,80
senc,80
give,79
make,79
cran,77
ught,77
antz,76
encr,76
guil,76
ncra,76
osen,76
fath,73
ment,72
peak,72
spea,72
ance,71
tern,71
then,71
than,70
tter,69
ness,68
lden,67
uild,67
ilde,66
nste,66
time,66
firs,65
heav,65
irst,65
dens,64
enst,64
gain,64
hich,64
llow,64
whic,64
eath,63
houl,63
shou,63
thee,63
eart,62
hath,62
must,62
cell,61
ever,61
ours,61
reat,61
aven,60
heir,59
houg,59
hink,58
thei,58
such,57
upon,57
i'll,56
nigh,56
when,56
agai,55
nder,55
marc,54
urse,54
fort,53
ound,53
stan,53
hose,52
take,52
atte,51
lown,51
ring,51
thes,51
ture,51
look,50
much,50
part,50
word,50
arce,49
clow,49
atur,48
even,48
fore,48
hese,48
llus,48
noth,48
ellu,47
rcel,47
ayer,46
entl,46
moth,46
tell,45
ange,44
ings,44
nger,44
ains,43
deed,43
laye,43
augh,42
mine,42
sion,42
thus,42
comm,41
ctio,41
efor,41
er's,41
sing,41
ardo,40
exit,40
gent,40
ious,40
mark,40
natu,40
read,40
soul,40
till,40
were,40
deat,39
inst,39
ntle,39
rsel,39
mean,38
eunt,37
hold,37
land,37
exeu,36
iend,36
ince,36
ithe,36
less,36
migh,36
pray,36
ting,36
xeun,36
able,35
anno,35
cann,35
ears,35
frie,35
hast,35
ling,35
live,35
rien,35
show,35
atch,34
dear,34
form,34
hand,34
inde,34
life,34
o'er,34
sure,34
dead,33
erna,33
leav,33
once,33
ount,33
serv,33
aste,32
brea,32
coul,32
down,32
emen,32
ends,32
ghts,32
her',32
host,32
ords,32
rave,32
rous,32
rown,32
ands,31
ason,31
foll,31
ghos,31
into,31
mand,31
ndee,31
ollo,31
osri,31
othi,31
over,31
pass,31
sric,31
tain,31
tand,31
tlem,31
whos,31
akes,30
bern,30
call,30
head,30
lood,30
made,30
matt,30
nard,30
ning,30
re's,30
rnar,30
bear,29
bloo,29
easo,29
esti,29
ette,29
omes,29
orti,29
ranc,29
ssio,29
whil,29
at's,28
been,28
ere',28
fair,28
fell,28
grea,28
